уi,ax,ay,bx,by,err_px
0,178.512,247.557,178.737,247.443,0.2516
1,238.935,247.287,239.187,247.209,0.2638
2,299.263,247.119,299.472,246.940,0.2754
3,359.508,246.891,359.667,246.730,0.2268
4,419.719,246.704,419.893,246.565,0.2227
5,479.863,246.520,480.010,246.383,0.2007
6,539.922,246.386,540.055,246.235,0.2011
7,599.974,246.314,600.122,246.108,0.2536
8,659.936,246.162,660.013,246.005,0.1753
9,719.944,246.042,719.960,245.943,0.1008
10,779.790,246.004,779.864,245.815,0.2024
11,839.824,245.970,839.814,245.791,0.1801
12,899.582,245.932,899.611,245.756,0.1788
13,959.552,245.893,959.522,245.742,0.1541
14,1019.394,245.902,1019.360,245.771,0.1351
15,1079.328,245.922,1079.301,245.800,0.1246
16,1139.165,245.979,1139.132,245.825,0.1570
17,1199.168,246.073,1199.074,245.878,0.2171
18,1259.059,246.164,1258.958,245.997,0.1953
19,1319.092,246.276,1318.940,246.085,0.2438
20,1379.103,246.396,1378.952,246.226,0.2276
21,1439.207,246.569,1439.053,246.395,0.2321
22,1499.287,246.697,1499.173,246.554,0.1829
23,1559.520,246.896,1559.339,246.738,0.2406
24,1619.811,247.060,1619.617,246.951,0.2225
25,1680.116,247.324,1679.891,247.190,0.2609
26,1740.511,247.546,1740.293,247.421,0.2519
27,178.244,307.024,178.505,306.795,0.3467
28,238.733,306.753,238.934,306.559,0.2794
29,299.051,306.505,299.266,306.328,0.2782
30,359.401,306.241,359.552,306.081,0.2198
31,419.577,306.042,419.782,305.853,0.2782
32,479.708,305.826,479.864,305.657,0.2306
33,539.880,305.632,539.967,305.458,0.1944
34,599.875,305.487,599.984,305.322,0.1975
35,659.947,305.331,659.990,305.186,0.1511
36,719.815,305.232,719.894,305.090,0.1619
37,779.789,305.220,779.893,304.961,0.2789
38,839.687,305.112,839.749,304.917,0.2046
39,899.630,305.115,899.633,304.880,0.2352
40,959.506,305.073,959.503,304.868,0.2049
41,1019.388,305.049,1019.421,304.886,0.1661
42,1079.277,305.138,1079.255,304.937,0.2014
43,1139.269,305.138,1139.228,304.991,0.1520
44,1199.085,305.262,1199.099,305.092,0.1702
45,1259.150,305.391,1259.052,305.199,0.2157
46,1319.110,305.472,1318.977,305.305,0.2132
47,1379.215,305.625,1379.034,305.477,0.2343
48,1439.288,305.826,1439.199,305.697,0.1570
49,1499.449,306.009,1499.297,305.832,0.2332
50,1559.667,306.226,1559.492,306.076,0.2306
51,1619.947,306.467,1619.763,306.308,0.2431
52,1680.330,306.755,1680.124,306.565,0.2810
53,1740.766,307.004,1740.545,306.830,0.2814
54,177.979,366.517,178.240,366.363,0.3031
55,238.397,366.170,238.648,366.050,0.2783
56,298.861,365.877,299.057,365.694,0.2674
57,359.219,365.606,359.413,365.429,0.2627
58,419.448,365.368,419.609,365.202,0.2309
59,479.630,365.152,479.745,364.963,0.2215
60,539.720,364.928,539.833,364.731,0.2273
61,599.793,364.824,599.910,364.555,0.2933
62,659.815,364.597,659.898,364.410,0.2048
63,719.844,364.472,719.866,364.299,0.1739
64,779.739,364.392,779.829,364.224,0.1918
65,839.709,364.340,839.753,364.127,0.2171
66,899.590,364.280,899.594,364.097,0.1834
67,959.512,364.313,959.522,364.096,0.2177
68,1019.397,364.280,1019.389,364.078,0.2022
69,1079.363,364.341,1079.326,364.155,0.1898
70,1139.232,364.419,1139.195,364.210,0.2120
71,1199.275,364.486,1199.209,364.311,0.1871
72,1259.176,364.608,1259.082,364.426,0.2060
73,1319.254,364.745,1319.150,364.551,0.2194
74,1379.266,364.919,1379.156,364.758,0.1951
75,1439.440,365.138,1439.291,364.923,0.2619
76,1499.583,365.370,1499.468,365.157,0.2418
77,1559.880,365.607,1559.667,365.441,0.2701
78,1620.206,365.959,1619.953,365.747,0.3307
79,1680.568,366.214,1680.353,366.025,0.2862
80,1741.067,366.485,1740.799,366.360,0.2961
81,177.598,426.086,177.874,425.945,0.3101
82,238.203,425.715,238.393,425.538,0.2602
83,298.672,425.449,298.847,425.196,0.3082
84,358.993,425.065,359.160,424.852,0.2705
85,419.264,424.766,419.410,424.574,0.2408
86,479.437,424.528,479.625,424.340,0.2661
87,539.635,424.307,539.727,424.121,0.2077
88,599.699,424.087,599.769,423.907,0.1930
89,659.740,423.897,659.831,423.711,0.2071
90,719.669,423.844,719.773,423.566,0.2968
91,779.743,423.694,779.803,423.497,0.2056
92,839.634,423.589,839.689,423.403,0.1939
93,899.632,423.574,899.626,423.337,0.2366
94,959.517,423.522,959.485,423.350,0.1754
95,1019.490,423.558,1019.458,423.367,0.1937
96,1079.346,423.601,1079.334,423.402,0.1995
97,1139.371,423.667,1139.292,423.474,0.2082
98,1199.229,423.829,1199.199,423.564,0.2660
99,1259.342,423.931,1259.255,423.733,0.2163
100,1319.321,424.129,1319.182,423.898,0.2697
101,1379.432,424.306,1379.298,424.099,0.2469
102,1439.521,424.559,1439.431,424.362,0.2166
103,1499.793,424.803,1499.616,424.601,0.2694
104,1560.033,425.033,1559.872,424.884,0.2196
105,1620.439,425.390,1620.261,425.195,0.2639
106,1680.875,425.708,1680.688,425.528,0.2589
107,1741.397,426.137,1741.184,425.919,0.3047
108,177.245,485.827,177.460,485.613,0.3038
109,237.820,485.438,237.998,485.155,0.3342
110,298.329,485.054,298.505,484.787,0.3196
111,358.711,484.620,358.859,484.476,0.2066
112,419.033,484.304,419.202,484.107,0.2587
113,479.315,484.040,479.447,483.801,0.2732
114,539.423,483.772,539.543,483.527,0.2726
115,599.609,483.499,599.741,483.335,0.2096
116,659.589,483.321,659.688,483.100,0.2423
117,719.723,483.165,719.726,482.944,0.2214
118,779.627,483.033,779.693,482.815,0.2275
119,839.703,482.956,839.663,482.698,0.2612
120,899.573,482.868,899.576,482.679,0.1897
121,959.513,482.876,959.526,482.641,0.2353
122,1019.467,482.884,1019.421,482.666,0.2224
123,1079.410,482.949,1079.390,482.738,0.2114
124,1139.326,483.055,1139.315,482.845,0.2109
125,1199.420,483.170,1199.358,482.917,0.2610
126,1259.368,483.341,1259.252,483.138,0.2336
127,1319.512,483.538,1319.372,483.286,0.2885
128,1379.544,483.738,1379.411,483.516,0.2585
129,1439.777,484.024,1439.616,483.798,0.2772
130,1499.966,484.324,1499.805,484.115,0.2636
131,1560.295,484.643,1560.145,484.428,0.2616
132,1620.736,485.028,1620.515,484.811,0.3102
133,1681.194,485.410,1680.964,485.216,0.3003
134,1741.827,485.851,1741.563,485.627,0.3463
135,176.800,545.670,176.945,545.406,0.3008
136,237.430,545.209,237.605,544.965,0.3010
137,297.938,544.766,298.139,544.516,0.3209
138,358.411,544.345,358.586,544.107,0.2963
139,418.795,543.917,418.904,543.734,0.2132
140,479.026,543.612,479.208,543.394,0.2840
141,539.267,543.288,539.394,543.083,0.2416
142,599.393,543.065,599.492,542.800,0.2824
143,659.543,542.867,659.650,542.619,0.2692
144,719.520,542.638,719.604,542.423,0.2302
145,779.624,542.493,779.681,542.277,0.2239
146,839.567,542.430,839.601,542.181,0.2511
147,899.570,542.324,899.578,542.111,0.2132
148,959.508,542.343,959.498,542.092,0.2503
149,1019.486,542.375,1019.482,542.096,0.2791
150,1079.471,542.436,1079.407,542.189,0.2549
151,1139.465,542.537,1139.417,542.284,0.2580
152,1199.429,542.665,1199.365,542.425,0.2485
153,1259.556,542.849,1259.445,542.610,0.2633
154,1319.583,543.066,1319.488,542.825,0.2590
155,1379.801,543.288,1379.652,543.114,0.2289
156,1439.971,543.670,1439.826,543.354,0.3472
157,1500.258,543.933,1500.117,543.703,0.2701
158,1560.646,544.313,1560.434,544.073,0.3201
159,1621.095,544.730,1620.873,544.529,0.3001
160,1681.611,545.214,1681.396,544.956,0.3362
161,1742.247,545.631,1742.027,545.429,0.2985
162,176.265,605.607,176.488,605.415,0.2947
163,237.009,605.090,237.128,604.860,0.2588
164,297.584,604.620,297.729,604.364,0.2939
165,358.046,604.133,358.138,603.904,0.2467
166,418.437,603.728,418.586,603.495,0.2765
167,478.876,603.358,478.938,603.075,0.2893
168,539.007,603.021,539.145,602.781,0.2766
169,599.289,602.712,599.337,602.472,0.2452
170,659.338,602.439,659.453,602.232,0.2371
171,719.508,602.306,719.565,602.022,0.2900
